,struct_typ,occ_type,year_built,no_stories,magnitude,distance,meandamage
6077,URM,RES1,19971028,1,5,3.012224494,0.23424
6078,URM,RES1,19881227,1,5,0.77277563,0.21887
6079,W1,RES1,1940,1,5,1.241762939,0.14862
6080,URM,RES1,19980909,1,5,1.2397646,0.24053
6081,S1,RES1,19941231,1,5,1.233273898,0.12307
6082,S1,AGR1,19980609,1,5,3.321520445,0.12442
6083,S1,COM2,19840412,1,5,3.314378104,0.11188
6084,W1,RES1,20071113,1,5,3.301614855,0.22996
6085,S1,COM2,20050901,1,5,3.293892816,0.13188
6086,S1,RES1,20050517,1,5,3.296052601,0.13187
6088,URM,RES1,19970524,1,5,2.681948542,0.23519
6089,S1,COM2,20051208,1,5,2.720501281,0.13285
6090,S1,COM2,20081007,1,5,3.563370701,0.1348
6091,S1,RES1,20031203,1,5,3.573613723,0.12915
6092,S1,RES1,20150701,2,5,3.339763064,0.13992
6093,URM,RES1,19851206,1,5,3.34727028,0.20814
6094,S1,RES1,20030521,1,5,3.357223608,0.12956
6095,S1,RES1,19950202,1,5,3.308467594,0.12152
6096,W1,RES1,20151005,2,5,3.31571108,0.24699
6097,S1,COM2,19961230,1,5,3.332005203,0.12244
6098,S1,AGR1,19970122,1,5,1.224314699,0.12242
6099,URM,RES1,1909,1,5,1.204143755,0.12655
6100,W1,RES1,1901,1,5,1.194000773,0.1225
6101,W1,RES1,1923,1,5,1.190377083,0.136
6102,S1,RES1,20070803,1,5,1.207427916,0.13692
6103,C4,RES1,20010821,1,5,1.211616507,0.2481
6104,URM,RES1,19820122,1,5,1.203946777,0.20704
6105,C4,RES1,19971230,1,5,1.204116946,0.23816
6106,S1,COM2,20120712,1,5,1.906591865,0.14242
6107,S1,RES1,20011227,2,5,2.269847161,0.10774
6108,S1,COM2,20110511,1,5,2.269544523,0.14067
6109,URM,RES1,19961228,1,5,1.168688996,0.23584
6110,S1,AGR1,19981231,1,5,1.206893912,0.12704
6111,S1,AGR1,20040915,1,5,1.234721569,0.13344
6112,W1,RES1,1975,1,5,1.20282356,0.18387
6113,C4,COM2,20001013,1,5,1.261019756,0.24547
6114,W1,RES1,1940,1,5,1.316530616,0.14855
6115,S1,COM2,19981023,1,5,1.396107091,0.1269
6116,S1,RES1,19990603,1,5,1.404803703,0.12792
6117,S1,COM2,20100520,1,5,1.528874401,0.14029
6118,URM,COM2,19981001,1,5,1.496694655,0.24015
6119,W1,RES1,1908,1,5,1.938162013,0.12585
6120,W1,RES1,1909,1,5,1.928410044,0.12645
6121,S1,COM2,20110805,1,5,1.86299373,0.14119
6122,W1,RES1,19950605,1,5,1.424427191,0.21239
6123,W1,RES1,1913,1,5,1.421936807,0.12934
6124,URM,RES1,19980613,1,5,1.415982692,0.24028
6125,S1,COM2,20050111,1,5,1.409703419,0.13443
6126,URM,RES1,19880824,1,5,1.392194145,0.21822
6127,W1,RES1,1939,1,5,1.403281547,0.14767
6128,W1,RES1,1957,1,5,1.342583219,0.16377
6130,W1,RES1,1944,1,5,3.064152533,0.14937
6131,URM,RES1,1944,1,5,3.085317072,0.15283
6132,W1,RES1,1944,1,5,3.109394036,0.14928
6133,W1,RES1,1944,1,5,3.121276469,0.14925
6134,URM,RES1,1954,1,5,3.063299685,0.16358
6135,URM,RES1,1954,1,5,3.073894227,0.16356
6136,W1,RES1,1954,1,5,3.106527514,0.15813
6137,URM,RES1,1969,1,5,3.092089281,0.18272
6138,W1,AGR1,1934,1,5,3.138470645,0.14131
6139,S1,COM2,19921128,1,5,3.131285243,0.11902
6140,S1,COM2,20111229,1,5,3.139921622,0.12769
6141,W1,RES1,1934,1,5,3.127931996,0.14133
6142,W1,RES1,1924,1,5,3.095044968,0.13428
6143,URM,RES1,1924,1,5,3.123074333,0.13507
6144,W1,RES1,1934,1,5,3.0789792,0.14142
6145,W1,RES1,1934,1,5,3.114038432,0.14136
6146,URM,RES1,19960829,1,5,3.224861859,0.23126
6147,W1,RES1,1941,1,5,3.166788422,0.1467
6148,URM,RES1,1948,1,5,3.167598298,0.15677
6149,S1,RES1,19971118,1,5,3.159516434,0.12371
6150,S1,COM2,19980808,1,5,3.15565223,0.12116
6151,W1,RES1,1924,1,5,3.099564401,0.13427
6152,S1,RES1,20110916,1,5,3.102904574,0.12775
6153,S1,RES1,20050604,2,5,3.117831005,0.11031
6154,W1,RES1,1923,1,5,3.54704189,0.13276
6155,W1,RES1,20040723,2,5,3.549829635,0.22334
6156,S1,RES1,20120228,1,5,3.581071627,0.13963
6157,S1,COM2,20030526,1,5,3.612761132,0.12907
6158,URM,COM2,20000901,1,5,3.5782209,0.23959
6159,W1,RES1,1935,1,5,3.622027253,0.14109
6160,W1,RES1,1944,1,5,3.378809585,0.14872
6161,URM,RES1,1944,1,5,3.211063177,0.15257
6162,URM,RES1,1945,1,5,2.985478337,0.15404
6163,W1,RES1,1945,1,5,2.993883784,0.15034
6164,W1,RES1,1944,1,5,3.003782279,0.14948
6165,W1,RES1,1924,1,5,3.032527403,0.13439
6166,W1,RES1,1924,1,5,3.02712939,0.1344
6167,URM,COM1,1965,1,5,3.042441797,0.17729
6168,URM,RES1,19821030,1,5,3.009441107,0.20363
6169,URM,COM1,1974,1,5,3.075569658,0.1902
6170,S1,RES1,19980615,1,5,3.125865394,0.12476
6172,W1,RES1,1954,1,5,2.989488434,0.15837
6173,W1,COM2,19991001,2,5,2.908376146,0.21414
6174,W1,COM2,19991001,1,5,2.921716401,0.21617
6175,W1,COM2,19991001,1,5,2.897138641,0.20784
6176,W1,COM2,19991001,1,5,2.911001858,0.2162
6177,W1,COM2,19991001,1,5,2.897369433,0.21624
6178,S1,RES1,19961007,1,5,3.03029686,0.12294
6179,W1,RES1,1972,1,5,3.038329932,0.17718
